START 10/26/2019
Current	avg	delta	Time
$9114.1	$9114.1	$0.0	[18:22:13 - 10/26/2019]
$9114.1	$9114.1	$0.0	[18:22:28 - 10/26/2019]
$9110.94	$9113.04666667	$-2.10666666667	[18:22:43 - 10/26/2019]
$9110.94	$9112.52	$-1.58	[18:22:58 - 10/26/2019]
$9110.94	$9112.204	$-1.264	[18:23:13 - 10/26/2019]
$9110.94	$9111.99333333	$-1.05333333333	[18:23:29 - 10/26/2019]
$9108.77	$9111.53285714	$-2.76285714286	[18:23:44 - 10/26/2019]
$9108.77	$9111.1875	$-2.4175	[18:23:59 - 10/26/2019]
$9108.77	$9110.91888889	$-2.14888888889	[18:24:14 - 10/26/2019]
$9108.77	$9110.704	$-1.934	[18:24:30 - 10/26/2019]
$9108.77	$9110.52818182	$-1.75818181818	[18:24:45 - 10/26/2019]
$9102.49	$9109.85833333	$-7.36833333334	[18:25:0 - 10/26/2019]
$9102.49	$9109.29153846	$-6.80153846154	[18:25:15 - 10/26/2019]
$9102.49	$9108.80571429	$-6.31571428572	[18:25:30 - 10/26/2019]
$9085.65	$9107.262	$-21.612	[18:25:46 - 10/26/2019]
$9085.65	$9105.91125	$-20.26125	[18:26:1 - 10/26/2019]
$9085.65	$9104.71941176	$-19.0694117647	[18:26:16 - 10/26/2019]
$9085.65	$9103.66	$-18.01	[18:26:31 - 10/26/2019]
$9085.65	$9102.71210526	$-17.0621052632	[18:26:47 - 10/26/2019]
$9133.92	$9104.2725	$29.6475	[18:27:2 - 10/26/2019]
$9133.92	$9105.68428571	$28.2357142857	[18:27:17 - 10/26/2019]
$9133.92	$9106.96772727	$26.9522727273	[18:27:32 - 10/26/2019]
$9133.92	$9108.13956522	$25.7804347826	[18:27:48 - 10/26/2019]
$9134.7	$9109.24625	$25.45375	[18:28:3 - 10/26/2019]
$9134.7	$9110.2644	$24.4356	[18:28:18 - 10/26/2019]
$9134.7	$9111.20423077	$23.4957692308	[18:28:33 - 10/26/2019]
