0.025563x + 11292.81=11584.883105082741	 6063 Points (+/- 125.66310508274182)	[8/11/2019 - 21:56:6]
0.025562x + 11292.81=11581.351110057038	 6064 Points (+/- 118.53111005703795)	[8/11/2019 - 21:56:30]
0.025562x + 11292.81=11581.486966195405	 6066 Points (+/- 118.66696619540562)	[8/11/2019 - 21:56:55]
0.025563x + 11292.81=11572.401647154547	 6068 Points (+/- 100.3416471545479)	[8/11/2019 - 21:57:19]
0.025564x + 11292.81=11572.488414208588	 6069 Points (+/- 100.42841420858895)	[8/11/2019 - 21:57:43]
0.025567x + 11292.81=11572.66176052235	 6071 Points (+/- 100.60176052234965)	[8/11/2019 - 21:58:7]
0.025569x + 11292.81=11566.670873877965	 6072 Points (+/- 88.52087387796564)	[8/11/2019 - 21:58:31]
0.025574x + 11292.81=11566.868890448159	 6074 Points (+/- 88.71889044815907)	[8/11/2019 - 21:58:56]
0.025577x + 11292.81=11573.802743962406	 6076 Points (+/- 102.40274396240602)	[8/11/2019 - 21:59:20]
0.025578x + 11292.81=11573.887632709013	 6077 Points (+/- 102.48763270901327)	[8/11/2019 - 21:59:44]
0.025581x + 11292.81=11574.057226048755	 6079 Points (+/- 102.65722604875555)	[8/11/2019 - 22:0:8]
0.025583x + 11292.81=11567.67524986191	 6080 Points (+/- 89.79524986191063)	[8/11/2019 - 22:0:32]
0.025587x + 11292.81=11567.871089584716	 6082 Points (+/- 89.99108958471697)	[8/11/2019 - 22:0:57]
0.025589x + 11292.81=11567.968905599279	 6083 Points (+/- 90.08890559927931)	[8/11/2019 - 22:1:21]
0.025595x + 11292.81=11563.413920097268	 6085 Points (+/- 80.76392009726806)	[8/11/2019 - 22:1:45]
0.025601x + 11292.81=11560.834383248819	 6087 Points (+/- 75.38438324881827)	[8/11/2019 - 22:2:9]
0.025605x + 11292.81=11560.947373306819	 6088 Points (+/- 75.49737330681819)	[8/11/2019 - 22:2:33]
0.025612x + 11292.81=11561.173118643683	 6090 Points (+/- 75.72311864368203)	[8/11/2019 - 22:2:58]
0.025615x + 11292.81=11561.285874040153	 6091 Points (+/- 75.8358740401527)	[8/11/2019 - 22:3:22]
0.025620x + 11292.81=11565.803473086891	 6093 Points (+/- 84.66347308689183)	[8/11/2019 - 22:3:46]
0.025625x + 11292.81=11566.010781531788	 6095 Points (+/- 84.87078153178845)	[8/11/2019 - 22:4:10]
0.025628x + 11292.81=11568.629160846715	 6096 Points (+/- 90.00916084671371)	[8/11/2019 - 22:4:35]
0.025632x + 11292.81=11568.82571142265	 6098 Points (+/- 90.20571142264998)	[8/11/2019 - 22:4:59]
0.025634x + 11292.81=11568.92388278835	 6099 Points (+/- 90.30388278834835)	[8/11/2019 - 22:5:23]
0.025637x + 11292.81=11573.561749192013	 6101 Points (+/- 99.40174919201309)	[8/11/2019 - 22:5:47]
0.025638x + 11292.81=11573.65058696834	 6102 Points (+/- 99.49058696834072)	[8/11/2019 - 22:6:12]
0.025639x + 11292.81=11581.695728373417	 6104 Points (+/- 115.43572837341708)	[8/11/2019 - 22:6:36]
0.025639x + 11292.81=11581.8406549286	 6106 Points (+/- 115.58065492859896)	[8/11/2019 - 22:7:0]
0.025639x + 11292.81=11581.91303774019	 6107 Points (+/- 115.65303774019048)	[8/11/2019 - 22:7:24]
0.025639x + 11292.81=11583.412079190617	 6109 Points (+/- 118.51207919061744)	[8/11/2019 - 22:7:49]
0.025639x + 11292.81=11583.481522146996	 6110 Points (+/- 118.58152214699658)	[8/11/2019 - 22:8:13]
0.025639x + 11292.81=11579.54859494159	 6112 Points (+/- 110.56859494159107)	[8/11/2019 - 22:8:37]
0.025641x + 11292.81=11579.70378804293	 6114 Points (+/- 110.72378804293112)	[8/11/2019 - 22:9:1]
0.025643x + 11292.81=11568.803779849868	 6115 Points (+/- 88.82377984986852)	[8/11/2019 - 22:9:26]
0.025647x + 11292.81=11569.003553128603	 6117 Points (+/- 89.02355312860345)	[8/11/2019 - 22:9:50]
0.025650x + 11292.81=11569.103334705842	 6118 Points (+/- 89.12333470584235)	[8/11/2019 - 22:10:14]
0.025653x + 11292.81=11572.340233570903	 6120 Points (+/- 95.41023357090307)	[8/11/2019 - 22:10:38]
0.025657x + 11292.81=11572.526867940933	 6122 Points (+/- 95.5968679409325)	[8/11/2019 - 22:11:3]
0.025659x + 11292.81=11568.70808674423	 6123 Points (+/- 87.85808674422879)	[8/11/2019 - 22:11:27]
0.025664x + 11292.81=11568.910312060198	 6125 Points (+/- 88.06031206019725)	[8/11/2019 - 22:11:51]
0.025667x + 11292.81=11569.01131867909	 6126 Points (+/- 88.16131867908916)	[8/11/2019 - 22:12:16]
