8/29/2019 - 19:7:5	PredictionError: $8.16
8/29/2019 - 19:7:55	PredictionError: $-4.42
8/29/2019 - 19:44:33	PredictionError: $-12.29
8/29/2019 - 19:44:39	PredictionError: $0.0
8/29/2019 - 20:18:38	PredictionError: $26.31
8/29/2019 - 20:22:13	PredictionError: $2.24
8/29/2019 - 20:35:25	PredictionError: $27.31
8/29/2019 - 20:54:28	PredictionError: $-21.37
8/29/2019 - 21:8:44	PredictionError: $29.85
8/29/2019 - 21:29:58	PredictionError: $16.76
8/29/2019 - 21:59:43	PredictionError: $-41.37
8/29/2019 - 22:12:42	PredictionError: $-14.34
8/29/2019 - 22:33:7	PredictionError: $24.48
8/29/2019 - 22:43:17	PredictionError: $8.13
8/29/2019 - 22:50:13	PredictionError: $-12.9
8/30/2019 - 6:14:52	PredictionError: $-150.97
8/30/2019 - 6:14:56	PredictionError: $0.0
8/30/2019 - 6:15:59	PredictionError: $-3.83
8/30/2019 - 6:24:20	PredictionError: $-1.03
8/30/2019 - 6:27:32	PredictionError: $5.52
8/30/2019 - 6:30:12	PredictionError: $8.02
8/30/2019 - 6:33:49	PredictionError: $21.81
8/30/2019 - 18:51:40	PredictionError: $-27.58
8/30/2019 - 18:59:49	PredictionError: $0.440000000001
8/30/2019 - 19:10:58	PredictionError: $-6.61
8/30/2019 - 19:11:2	PredictionError: $0.0
8/30/2019 - 19:12:5	PredictionError: $0.190000000001
8/30/2019 - 19:16:14	PredictionError: $1.49
8/30/2019 - 19:52:34	PredictionError: $31.84
8/30/2019 - 20:49:0	PredictionError: $-35.57
8/30/2019 - 20:53:58	PredictionError: $0.259999999998
8/30/2019 - 20:56:49	PredictionError: $6.64
8/30/2019 - 21:17:6	PredictionError: $-30.24
8/30/2019 - 21:26:51	PredictionError: $-15.97
8/30/2019 - 21:33:40	PredictionError: $10.62
8/30/2019 - 21:50:18	PredictionError: $-3.54
8/30/2019 - 22:3:53	PredictionError: $11.56
